"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","06-Nov-2017","       1330.75","       1347.85","       1377.70","       1343.30","       1370.50","       1366.15","       1363.74","    2575346","          3512101879.90","      90250","    1684041","         65.39"
"M&amp;M","EQ","07-Nov-2017","       1366.15","       1380.00","       1382.00","       1348.00","       1353.80","       1353.75","       1369.20","    2213662","          3030937751.00","      31165","    1683864","         76.07"
"M&amp;M","EQ","08-Nov-2017","       1353.75","       1361.00","       1375.00","       1354.00","       1373.95","       1367.00","       1367.72","     685509","           937585053.35","      42629","     446174","         65.09"
"M&amp;M","EQ","09-Nov-2017","       1367.00","       1373.00","       1380.05","       1340.00","       1360.05","       1361.30","       1358.06","     484257","           657651814.20","      34443","     241422","         49.85"
"M&amp;M","EQ","10-Nov-2017","       1361.30","       1362.10","       1412.15","       1347.20","       1395.00","       1392.95","       1384.33","    2969900","          4111328588.75","      77163","     972493","         32.74"
"M&amp;M","EQ","13-Nov-2017","       1392.95","       1408.00","       1431.75","       1408.00","       1411.00","       1411.20","       1421.09","    3238115","          4601643311.35","     109683","    2116416","         65.36"
"M&amp;M","EQ","14-Nov-2017","       1411.20","       1419.00","       1438.20","       1415.05","       1424.90","       1429.60","       1426.53","    1796055","          2562124517.80","      74649","    1281511","         71.35"
"M&amp;M","EQ","15-Nov-2017","       1429.60","       1429.00","       1429.00","       1407.00","       1416.05","       1415.25","       1414.29","     997036","          1410097226.55","      39787","     610450","         61.23"
"M&amp;M","EQ","16-Nov-2017","       1415.25","       1415.05","       1426.00","       1408.00","       1414.05","       1413.95","       1417.43","     872446","          1236627806.30","      21237","     484207","         55.50"
"M&amp;M","EQ","17-Nov-2017","       1413.95","       1425.00","       1425.00","       1412.00","       1413.95","       1416.75","       1420.39","    1448440","          2057346250.70","      32485","    1196400","         82.60"
"M&amp;M","EQ","20-Nov-2017","       1416.75","       1419.75","       1420.05","       1400.10","       1404.90","       1408.00","       1406.64","    1264801","          1779123542.45","      59511","    1004920","         79.45"
"M&amp;M","EQ","21-Nov-2017","       1408.00","       1420.00","       1422.00","       1408.20","       1415.00","       1416.00","       1415.99","     853763","          1208919055.10","      31579","     589156","         69.01"
"M&amp;M","EQ","22-Nov-2017","       1416.00","       1424.00","       1441.80","       1419.60","       1432.50","       1429.50","       1433.89","    1439617","          2064259578.25","      62309","     899704","         62.50"
"M&amp;M","EQ","23-Nov-2017","       1429.50","       1434.40","       1434.40","       1412.55","       1420.00","       1418.65","       1422.43","     490011","           697005384.65","      21098","     281397","         57.43"
"M&amp;M","EQ","24-Nov-2017","       1418.65","       1425.00","       1439.90","       1420.05","       1435.35","       1434.10","       1433.31","     966558","          1385379918.50","      24730","     595485","         61.61"
"M&amp;M","EQ","27-Nov-2017","       1434.10","       1435.00","       1444.00","       1425.05","       1431.90","       1431.00","       1430.26","     867582","          1240868592.00","      26757","     587919","         67.77"
"M&amp;M","EQ","28-Nov-2017","       1431.00","       1432.65","       1441.45","       1426.80","       1436.80","       1435.00","       1434.43","     743580","          1066614994.05","      28246","     527833","         70.99"
"M&amp;M","EQ","29-Nov-2017","       1435.00","       1438.95","       1443.10","       1430.00","       1431.00","       1433.40","       1434.48","     691787","           992357850.30","      34587","     469904","         67.93"
"M&amp;M","EQ","30-Nov-2017","       1433.40","       1430.00","       1430.00","       1400.55","       1407.10","       1406.55","       1409.45","    2683675","          3782502344.85","      96875","    1882881","         70.16"
"M&amp;M","EQ","01-Dec-2017","       1406.55","       1414.00","       1426.95","       1406.00","       1409.00","       1409.40","       1415.77","    1077343","          1525266408.70","      30037","     573714","         53.25"
"M&amp;M","EQ","04-Dec-2017","       1409.40","       1420.00","       1420.00","       1392.75","       1400.50","       1401.00","       1400.70","    1462814","          2048958363.15","      39083","    1098744","         75.11"
"M&amp;M","EQ","05-Dec-2017","       1401.00","       1400.00","       1409.35","       1383.00","       1387.80","       1388.20","       1395.18","    1299621","          1813207657.10","      42554","    1060452","         81.60"
"M&amp;M","EQ","06-Dec-2017","       1388.20","       1387.00","       1392.40","       1363.45","       1368.70","       1367.45","       1374.94","    1184822","          1629058476.20","      60137","     889587","         75.08"
"M&amp;M","EQ","07-Dec-2017","       1367.45","       1376.80","       1382.50","       1368.10","       1380.00","       1379.55","       1375.48","    1556860","          2141433167.10","      47232","    1246870","         80.09"
"M&amp;M","EQ","08-Dec-2017","       1379.55","       1386.70","       1393.65","       1379.40","       1387.00","       1388.15","       1387.23","    1199696","          1664259781.75","      38460","     928249","         77.37"
"M&amp;M","EQ","11-Dec-2017","       1388.15","       1395.85","       1427.85","       1392.50","       1417.85","       1418.25","       1415.18","    1323321","          1872731818.80","      38802","     852243","         64.40"
"M&amp;M","EQ","12-Dec-2017","       1418.25","       1419.80","       1428.50","       1411.10","       1420.00","       1419.15","       1419.62","    1406120","          1996157493.25","      47037","    1062732","         75.58"
"M&amp;M","EQ","13-Dec-2017","       1419.15","       1421.80","       1432.00","       1410.00","       1411.00","       1412.50","       1421.14","    1893574","          2691036767.85","      28683","    1563376","         82.56"
"M&amp;M","EQ","14-Dec-2017","       1412.50","       1417.00","       1436.00","       1413.00","       1432.00","       1431.60","       1428.93","    2752965","          3933786533.60","      64401","    2098747","         76.24"
"M&amp;M","EQ","15-Dec-2017","       1431.60","       1442.50","       1490.00","       1441.00","       1483.00","       1483.40","       1471.96","    3552757","          5229500192.45","     100168","    2010344","         56.59"
"M&amp;M","EQ","18-Dec-2017","       1483.40","       1484.00","       1539.00","       1455.00","       1521.80","       1521.45","       1518.14","    4265351","          6475392865.30","     100737","    2736288","         64.15"
"M&amp;M","EQ","19-Dec-2017","       1521.45","       1535.00","       1560.95","       1522.00","       1550.40","       1556.30","       1539.87","    5673987","          8737214691.15","      78208","    4112440","         72.48"
"M&amp;M","EQ","20-Dec-2017","       1556.30","       1560.00","       1571.40","       1533.10","       1534.20","       1541.75","       1557.09","    4830014","          7520746124.05","     104321","    3529758","         73.08"
"M&amp;M","EQ","21-Dec-2017","       1541.75","        767.00","        767.00","        738.95","        742.85","        742.20","        746.46","    6803736","          5078683006.30","      79258","    4677871","         68.75"
"M&amp;M","EQ","22-Dec-2017","        742.20","        747.00","        753.40","        743.00","        747.40","        746.20","        747.70","    2338232","          1748302823.20","      36522","    1324387","         56.64"
"M&amp;M","EQ","26-Dec-2017","        746.20","        748.00","        749.95","        736.70","        741.55","        741.55","        740.16","    3887128","          2877108903.45","      38647","    2861005","         73.60"
"M&amp;M","EQ","27-Dec-2017","        741.55","        744.80","        754.90","        739.45","        747.00","        746.75","        747.56","    2523905","          1886775227.35","      38307","    1523602","         60.37"
"M&amp;M","EQ","28-Dec-2017","        746.75","        747.00","        753.95","        745.35","        751.90","        749.95","        749.75","    5643656","          4231337678.90","      53488","    3882053","         68.79"
"M&amp;M","EQ","29-Dec-2017","        749.95","        751.00","        753.00","        743.90","        751.50","        751.10","        748.20","    2055582","          1537991668.70","      73331","    1594168","         77.55"
"M&amp;M","EQ","01-Jan-2018","        751.10","        751.00","        758.90","        743.00","        745.50","        744.65","        750.77","    2476302","          1859140125.05","      31240","    1619007","         65.38"
"M&amp;M","EQ","02-Jan-2018","        744.65","        754.00","        758.00","        746.30","        753.00","        752.90","        753.06","    3020597","          2274687979.60","      58268","    1872751","         62.00"
"M&amp;M","EQ","03-Jan-2018","        752.90","        755.90","        759.00","        750.00","        753.70","        754.90","        756.16","    2256643","          1706379602.85","      54539","    1298233","         57.53"
